"items","support","count"
"{few existing stories,few existing units,some streets}",0.0575078398819406,1247
"{few existing stories,Permit type8,some streets}",0.0545563549160671,1183
"{few existing stories,few units,some streets}",0.0513281682346431,1113
"{few districts,few existing units,few proposed units,few units,Permit type8,some streets}",0.0581073602656336,1260
"{few districts,few existing units,few units,Permit type8,some streets}",0.0581073602656336,1260
"{few existing units,few proposed units,few units,Permit type8,some streets}",0.0581073602656336,1260
"{few districts,few proposed units,few units,Permit type8,some streets}",0.0581073602656336,1260
"{few districts,few units,Permit type8,some streets}",0.0584301789337761,1267
"{few proposed units,few units,Permit type8,some streets}",0.0581073602656336,1260
"{few existing units,few units,Permit type8,some streets}",0.0581073602656336,1260
"{few districts,few existing units,few proposed units,few units,some streets}",0.0609666113263236,1322
"{few districts,few existing units,few units,some streets}",0.0609666113263236,1322
"{few existing units,few proposed units,few units,some streets}",0.0609666113263236,1322
"{few districts,few proposed units,few units,some streets}",0.0609666113263236,1322
"{few districts,few units,some streets}",0.0613355469470577,1330
"{few proposed units,few units,some streets}",0.0609666113263236,1322
"{few existing units,few units,some streets}",0.0609666113263236,1322
"{few units,Permit type8,some streets}",0.0584301789337761,1267
"{few districts,few existing units,few proposed units,Permit type8,some streets}",0.0693598966980262,1504
"{few districts,few existing units,Permit type8,some streets}",0.0693598966980262,1504
"{few existing units,few proposed units,Permit type8,some streets}",0.0693598966980262,1504
"{few districts,few proposed units,Permit type8,some streets}",0.0693598966980262,1504
"{few districts,Permit type8,some streets}",0.0696827153661686,1511
"{few proposed units,Permit type8,some streets}",0.0693598966980262,1504
"{few existing units,Permit type8,some streets}",0.0693598966980262,1504
"{few districts,few existing units,few proposed units,some streets}",0.0725880833794503,1574
"{few districts,few existing units,some streets}",0.0725880833794503,1574
"{few existing units,few proposed units,some streets}",0.0725880833794503,1574
"{few districts,few proposed units,some streets}",0.0725880833794503,1574
"{few districts,some streets}",0.0729570190001845,1582
"{few proposed units,some streets}",0.0725880833794503,1574
"{few existing units,some streets}",0.0725880833794503,1574
"{Permit type8,some streets}",0.0696827153661686,1511
"{few units,some streets}",0.0613355469470577,1330
"{few existing stories,some streets}",0.0575078398819406,1247
"{few proposed stories,some streets}",0.0569544364508393,1235
"{existing construction type5,some streets}",0.0546485888212507,1185
"{proposed construction type5,some streets}",0.0546485888212507,1185
"{few districts,few existing units,few units,Permit type8,plenty estimates cost,plenty revised stories}",0.0547408227264342,1187
"{few existing units,few proposed units,few units,Permit type8,plenty estimates cost,plenty revised stories}",0.0547408227264342,1187
"{few districts,few proposed units,few units,Permit type8,plenty estimates cost,plenty revised stories}",0.0547408227264342,1187
"{few districts,few units,Permit type8,plenty estimates cost,plenty revised stories}",0.054786939679026,1188
"{few proposed units,few units,Permit type8,plenty estimates cost,plenty revised stories}",0.0547408227264342,1187
"{few existing units,few units,Permit type8,plenty estimates cost,plenty revised stories}",0.0547408227264342,1187
"{few districts,few existing units,few proposed units,few units,plenty estimates cost,plenty revised stories}",0.068391440693599,1483
"{few districts,few existing units,few units,plenty estimates cost,plenty revised stories}",0.068391440693599,1483
"{few existing units,few proposed units,few units,plenty estimates cost,plenty revised stories}",0.068391440693599,1483
"{few districts,few proposed units,few units,plenty estimates cost,plenty revised stories}",0.068391440693599,1483
"{few districts,few units,plenty estimates cost,plenty revised stories}",0.0684375576461907,1484
"{few proposed units,few units,plenty estimates cost,plenty revised stories}",0.068391440693599,1483
"{few existing units,few units,plenty estimates cost,plenty revised stories}",0.068391440693599,1483
"{few units,Permit type8,plenty estimates cost,plenty revised stories}",0.054786939679026,1188
"{few districts,few existing units,few proposed units,Permit type8,plenty estimates cost,plenty revised stories}",0.0659011252536432,1429
"{few districts,few existing units,Permit type8,plenty estimates cost,plenty revised stories}",0.0659011252536432,1429
"{few existing units,few proposed units,Permit type8,plenty estimates cost,plenty revised stories}",0.0659011252536432,1429
"{few districts,few proposed units,Permit type8,plenty estimates cost,plenty revised stories}",0.0659011252536432,1429
"{few districts,Permit type8,plenty estimates cost,plenty revised stories}",0.065947242206235,1430
"{few proposed units,Permit type8,plenty estimates cost,plenty revised stories}",0.0659011252536432,1429
"{few existing units,Permit type8,plenty estimates cost,plenty revised stories}",0.0659011252536432,1429
"{few districts,few existing units,few proposed units,plenty estimates cost,plenty revised stories}",0.0814425382770707,1766
"{few districts,few existing units,plenty estimates cost,plenty revised stories}",0.0814425382770707,1766
"{few existing units,few proposed units,plenty estimates cost,plenty revised stories}",0.0814425382770707,1766
"{few districts,few proposed units,plenty estimates cost,plenty revised stories}",0.0814425382770707,1766
"{few districts,plenty estimates cost,plenty revised stories}",0.0814886552296624,1767
"{few proposed units,plenty estimates cost,plenty revised stories}",0.0814425382770707,1766
"{few existing units,plenty estimates cost,plenty revised stories}",0.0814425382770707,1766
"{Permit type8,plenty estimates cost,plenty revised stories}",0.065947242206235,1430
"{few units,plenty estimates cost,plenty revised stories}",0.0684375576461907,1484
"{few districts,few existing units,few proposed units,few units,Permit type8,plenty estimates cost}",0.0581995941708172,1262
"{few districts,few existing units,few units,Permit type8,plenty estimates cost}",0.0581995941708172,1262
"{few existing units,few proposed units,few units,Permit type8,plenty estimates cost}",0.0581995941708172,1262
"{few districts,few proposed units,few units,Permit type8,plenty estimates cost}",0.0581995941708172,1262
"{few districts,few units,Permit type8,plenty estimates cost}",0.058245711123409,1263
"{few proposed units,few units,Permit type8,plenty estimates cost}",0.0581995941708172,1262
"{few existing units,few units,Permit type8,plenty estimates cost}",0.0581995941708172,1262
"{few districts,few existing units,few proposed units,few units,plenty estimates cost}",0.0719424460431655,1560
"{few districts,few existing units,few units,plenty estimates cost}",0.0719424460431655,1560
"{few existing units,few proposed units,few units,plenty estimates cost}",0.0719424460431655,1560
"{few districts,few proposed units,few units,plenty estimates cost}",0.0719424460431655,1560
"{few districts,few units,plenty estimates cost}",0.0719885629957572,1561
"{few proposed units,few units,plenty estimates cost}",0.0719424460431655,1560
"{few existing units,few units,plenty estimates cost}",0.0719424460431655,1560
"{few units,Permit type8,plenty estimates cost}",0.058245711123409,1263
"{few districts,few existing units,few proposed units,Permit type8,plenty estimates cost}",0.0695904814609851,1509
"{few districts,few existing units,Permit type8,plenty estimates cost}",0.0695904814609851,1509
"{few existing units,few proposed units,Permit type8,plenty estimates cost}",0.0695904814609851,1509
"{few districts,few proposed units,Permit type8,plenty estimates cost}",0.0695904814609851,1509
"{few districts,Permit type8,plenty estimates cost}",0.0696365984135768,1510
"{few proposed units,Permit type8,plenty estimates cost}",0.0695904814609851,1509
"{few existing units,Permit type8,plenty estimates cost}",0.0695904814609851,1509
"{few districts,few existing units,few proposed units,plenty estimates cost}",0.085224128389596,1848
"{few districts,few existing units,plenty estimates cost}",0.085224128389596,1848
"{few existing units,few proposed units,plenty estimates cost}",0.085224128389596,1848
"{few districts,few proposed units,plenty estimates cost}",0.085224128389596,1848
"{few districts,plenty estimates cost}",0.0852702453421878,1849
"{few proposed units,plenty estimates cost}",0.085224128389596,1848
"{few existing units,plenty estimates cost}",0.085224128389596,1848
"{Permit type8,plenty estimates cost}",0.0696365984135768,1510
"{few units,plenty estimates cost}",0.0719885629957572,1561
